Estacao,Data,Hora,Precipitacao
83781,26/02/1963,1200,22.8
83781,27/02/1963,1200,0
83781,28/02/1963,1200,0
83781,01/03/1963,1200,0
83781,02/03/1963,1200,0
83781,03/03/1963,1200,0
83781,04/03/1963,1200,1.1
83781,05/03/1963,1200,0
83781,06/03/1963,1200,0
83781,07/03/1963,1200,2.6
83781,08/03/1963,1200,1.1
83781,09/03/1963,1200,0
83781,10/03/1963,1200,19.6
83781,11/03/1963,1200,0
83781,12/03/1963,1200,9.4
83781,13/03/1963,1200,0
83781,14/03/1963,1200,0
83781,15/03/1963,1200,2
83781,16/03/1963,1200,0
83781,17/03/1963,1200,0
83781,18/03/1963,1200,2.5
83781,19/03/1963,1200,0.4
83781,20/03/1963,1200,0
83781,21/03/1963,1200,2.1
83781,22/03/1963,1200,0.5
83781,23/03/1963,1200,0
83781,24/03/1963,1200,27
83781,25/03/1963,1200,0.7
83781,26/03/1963,1200,6.2
83781,27/03/1963,1200,0
83781,28/03/1963,1200,0
83781,29/03/1963,1200,0
83781,30/03/1963,1200,2.9
83781,31/03/1963,1200,0
83781,01/04/1963,1200,0
83781,02/04/1963,1200,0
83781,03/04/1963,1200,0
83781,04/04/1963,1200,0
83781,05/04/1963,1200,0
83781,06/04/1963,1200,0
83781,07/04/1963,1200,0
83781,08/04/1963,1200,0
83781,09/04/1963,1200,0
83781,10/04/1963,1200,0
83781,11/04/1963,1200,0
83781,12/04/1963,1200,0
83781,13/04/1963,1200,0
83781,14/04/1963,1200,0
83781,15/04/1963,1200,0
83781,16/04/1963,1200,17.3
83781,17/04/1963,1200,7
83781,18/04/1963,1200,0
83781,19/04/1963,1200,0
83781,20/04/1963,1200,0
83781,21/04/1963,1200,0
83781,22/04/1963,1200,0
83781,23/04/1963,1200,0
83781,24/04/1963,1200,0
83781,25/04/1963,1200,0
83781,26/04/1963,1200,0
83781,27/04/1963,1200,0
83781,28/04/1963,1200,0
83781,29/04/1963,1200,0
83781,30/04/1963,1200,0
83781,01/05/1963,1200,0
83781,02/05/1963,1200,0
83781,03/05/1963,1200,0
83781,04/05/1963,1200,0.1
83781,05/05/1963,1200,0
83781,06/05/1963,1200,0
83781,07/05/1963,1200,0
83781,08/05/1963,1200,0
83781,09/05/1963,1200,0
83781,10/05/1963,1200,0
83781,11/05/1963,1200,0
83781,12/05/1963,1200,0
83781,13/05/1963,1200,0
83781,14/05/1963,1200,0
83781,15/05/1963,1200,0
83781,16/05/1963,1200,3.6
83781,17/05/1963,1200,0
83781,18/05/1963,1200,0
83781,19/05/1963,1200,0
83781,20/05/1963,1200,0
83781,21/05/1963,1200,0
83781,22/05/1963,1200,0
83781,23/05/1963,1200,0
83781,24/05/1963,1200,0
83781,25/05/1963,1200,0
83781,26/05/1963,1200,0
83781,27/05/1963,1200,0
83781,28/05/1963,1200,0
83781,29/05/1963,1200,0
83781,30/05/1963,1200,0
83781,31/05/1963,1200,0
83781,01/06/1963,1200,0
83781,02/06/1963,1200,1.3
83781,03/06/1963,1200,0
83781,04/06/1963,1200,0
83781,05/06/1963,1200,0
83781,06/06/1963,1200,0
83781,07/06/1963,1200,0
83781,08/06/1963,1200,0
83781,09/06/1963,1200,0
83781,10/06/1963,1200,0
83781,11/06/1963,1200,0
83781,12/06/1963,1200,0
